BUSINESSOPERATOR;DetailURL;StreetNumber;Street;TOTALOUTSTANDING;TotalUnits;Geom;Geo Local Area;geo_point_2d
Beng Kim Yeung (Beng Yeung);http://app.vancouver.ca/RPS_Net/Default.aspx?num=8619&street=HUDSON%20STREET;8619;HUDSON STREET;2;10;"{""coordinates"": [-123.1350487, 49.20829758], ""type"": ""Point""}";Marpole;49.20829758, -123.1350487
Gene Lee & Shirley Lee;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8667&street=HUDSON%20STREET;8667;HUDSON STREET;1;37;"{""coordinates"": [-123.13510139, 49.20754542], ""type"": ""Point""}";Marpole;49.20754542, -123.13510139
Whistler Valley Construction Corp Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=830&street=JACKSON%20AVENUE;830;JACKSON AVENUE;1;11;"{""coordinates"": [-123.09345978, 49.27689726], ""type"": ""Point""}";Strathcona;49.27689726, -123.09345978
Sik Ging Huie (Sik-Ging Huie);http://app.vancouver.ca/RPS_Net/Default.aspx?num=306&street=JACKSON%20AVENUE;306;JACKSON AVENUE;6;36;"{""coordinates"": [-123.09317028, 49.28189685], ""type"": ""Point""}";Strathcona;49.28189685, -123.09317028
Zoro Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1075&street=JERVIS%20STREET;1075;JERVIS STREET;1;37;"{""coordinates"": [-123.13272719, 49.28451165], ""type"": ""Point""}";West End;49.28451165, -123.13272719
Amon Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1100&street=JERVIS%20STREET;1100;JERVIS STREET;1;109;"{""coordinates"": [-123.13301695, 49.28330415], ""type"": ""Point""}";West End;49.28330415, -123.13301695
S A H Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=610&street=JERVIS%20STREET;610;JERVIS STREET;1;50;"{""coordinates"": [-123.12584381, 49.28854661], ""type"": ""Point""}";Downtown;49.28854661, -123.12584381
Austeville Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=750&street=JERVIS%20STREET;750;JERVIS STREET;4;128;"{""coordinates"": [-123.12674027, 49.28687004], ""type"": ""Point""}";West End;49.28687004, -123.12674027
Austeville Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=788&street=JERVIS%20STREET;788;JERVIS STREET;2;106;"{""coordinates"": [-123.12794229, 49.28699214], ""type"": ""Point""}";West End;49.28699214, -123.12794229
0811930 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1209&street=JERVIS%20STREET;1209;JERVIS STREET;3;45;"{""coordinates"": [-123.13542495, 49.28272208], ""type"": ""Point""}";West End;49.28272208, -123.13542495
Pacific Investment Corporation Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1210&street=JERVIS%20STREET;1210;JERVIS STREET;1;84;"{""coordinates"": [-123.13484092, 49.28234003], ""type"": ""Point""}";West End;49.28234003, -123.13484092
1112152 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=5187&street=JOYCE%20STREET;5187;JOYCE STREET;2;5;"{""coordinates"": [-123.03273733, 49.23774453], ""type"": ""Point""}";Renfrew-Collingwood;49.23774453, -123.03273733
Vishi Construction Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=968&street=KINGSWAY;968;KINGSWAY;1;44;"{""coordinates"": [-123.08462663, 49.25388139], ""type"": ""Point""}";Kensington-Cedar Cottage;49.25388139, -123.08462663
Superior Holdings Co Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2535&street=KINGSWAY;2535;KINGSWAY;2;10;"{""coordinates"": [-123.0532568, 49.23999952], ""type"": ""Point""}";Renfrew-Collingwood;49.23999952, -123.0532568
687430 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2576&street=KINGSWAY;2576;KINGSWAY;1;8;"{""coordinates"": [-123.05280494, 49.23908189], ""type"": ""Point""}";Renfrew-Collingwood;49.23908189, -123.05280494
City of Vancouver;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3484&street=KINGSWAY;3484;KINGSWAY;7;123;"{""coordinates"": [-123.03124616, 49.23140021], ""type"": ""Point""}";Killarney;49.23140021, -123.03124616
Shane Kit Chung Cheung (Shane Cheung);http://app.vancouver.ca/RPS_Net/Default.aspx?num=3611&street=KINGSWAY;3611;KINGSWAY;2;7;"{""coordinates"": [-123.02555193, 49.23248561], ""type"": ""Point""}";Renfrew-Collingwood;49.23248561, -123.02555193
1096329 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=7849&street=KNIGHT%20STREET;7849;KNIGHT STREET;1;12;"{""coordinates"": [-123.07751815, 49.21330929], ""type"": ""Point""}";Sunset;49.21330929, -123.07751815
Castlebrook Income Properties Ltd.;http://app.vancouver.ca/RPS_Net/Default.aspx?num=368&street=LAKEWOOD%20DRIVE;368;LAKEWOOD DRIVE;1;42;;;
David Hsing Sheng Hsu (David Hsu);http://app.vancouver.ca/RPS_Net/Default.aspx?num=8680&street=LAUREL%20STREET;8680;LAUREL STREET;4;28;"{""coordinates"": [-123.12594167, 49.20699836], ""type"": ""Point""}";Marpole;49.20699836, -123.12594167
Raincity Housing and Support Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=235&street=MAIN%20STREET;235;MAIN STREET;5;80;"{""coordinates"": [-123.10005685, 49.28263269], ""type"": ""Point""}";Downtown;49.28263269, -123.10005685
HOGAN'S ALLEY SOCIETY;http://app.vancouver.ca/RPS_Net/Default.aspx?num=796&street=MAIN%20STREET;796;MAIN STREET;1;23;"{""coordinates"": [-123.0993605, 49.27778623], ""type"": ""Point""}";Strathcona;49.27778623, -123.0993605
International Business Travelers Hostel Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1038&street=MAIN%20STREET;1038;MAIN STREET;32;104;"{""coordinates"": [-123.09953914, 49.27518738], ""type"": ""Point""}";Strathcona;49.27518738, -123.09953914
ThePorter Residences Development Limited Partnership;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2339&street=MAIN%20STREET;2339;MAIN STREET;1;29;"{""coordinates"": [-123.10141092, 49.26399911], ""type"": ""Point""}";Mount Pleasant;49.26399911, -123.10141092
MID-MAIN HOLDINGS LTD.;http://app.vancouver.ca/RPS_Net/Default.aspx?num=4655&street=MAIN%20STREET;4655;MAIN STREET;4;10;"{""coordinates"": [-123.10176392, 49.24278359], ""type"": ""Point""}";Riley Park;49.24278359, -123.10176392
Affordable Housing Charitable Association;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1129&street=MAIN%20STREET;1129;MAIN STREET;1;29;"{""coordinates"": [-123.10047839, 49.27455606], ""type"": ""Point""}";Downtown;49.27455606, -123.10047839
Teddy Lai & YanHong Chen;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3616&street=MAIN%20STREET;3616;MAIN STREET;3;6;"{""coordinates"": [-123.10057308, 49.25263361], ""type"": ""Point""}";Riley Park;49.25263361, -123.10057308
Shun Chi Company Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=507&street=MAIN%20STREET;507;MAIN STREET;5;30;"{""coordinates"": [-123.100152, 49.28012653], ""type"": ""Point""}";Downtown;49.28012653, -123.100152
ThePorter Residences Development Limited Partnership;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2333&street=MAIN%20STREET;2333;MAIN STREET;1;8;"{""coordinates"": [-123.10141534, 49.26410701], ""type"": ""Point""}";Mount Pleasant;49.26410701, -123.10141534
COLLINGWOOD INVESTMENT 2018 LTD.;http://app.vancouver.ca/RPS_Net/Default.aspx?num=4339&street=MAIN%20STREET;4339;MAIN STREET;1;11;"{""coordinates"": [-123.10158326, 49.24683109], ""type"": ""Point""}";Riley Park;49.24683109, -123.10158326
4355 Main Street Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=4355&street=MAIN%20STREET;4355;MAIN STREET;2;6;"{""coordinates"": [-123.10159793, 49.24654638], ""type"": ""Point""}";Riley Park;49.24654638, -123.10159793
Kevington Building Corporation Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=4453&street=MAIN%20STREET;4453;MAIN STREET;5;79;"{""coordinates"": [-123.10168308, 49.24519925], ""type"": ""Point""}";Riley Park;49.24519925, -123.10168308
Li-Wah Ng & Sik-Wah Ng;http://app.vancouver.ca/RPS_Net/Default.aspx?num=4515&street=MAIN%20STREET;4515;MAIN STREET;4;7;"{""coordinates"": [-123.10170576, 49.2442134], ""type"": ""Point""}";Riley Park;49.2442134, -123.10170576
1131384 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2298&street=MCBAIN%20AVENUE;2298;MCBAIN AVENUE;1;76;"{""coordinates"": [-123.15790918, 49.2495276], ""type"": ""Point""}";Arbutus Ridge;49.2495276, -123.15790918
Huntly Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1218&street=MELVILLE%20STREET;1218;MELVILLE STREET;1;6;"{""coordinates"": [-123.1248631, 49.28791398], ""type"": ""Point""}";Downtown;49.28791398, -123.1248631
Monarch Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8643&street=MONTCALM%20STREET;8643;MONTCALM STREET;2;20;"{""coordinates"": [-123.13661557, 49.2079893], ""type"": ""Point""}";Marpole;49.2079893, -123.13661557
