BUSINESSOPERATOR;DetailURL;StreetNumber;Street;TOTALOUTSTANDING;TotalUnits;Geom;Geo Local Area;geo_point_2d
Blue Island Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=110&street=W%2010TH%20AVENUE;110;W 10TH AVENUE;1;35;"{""coordinates"": [-123.1071394, 49.26185047], ""type"": ""Point""}";Mount Pleasant;49.26185047, -123.1071394
Shaughnessy Lodge Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1298&street=W%2010TH%20AVENUE;1298;W 10TH AVENUE;1;69;"{""coordinates"": [-123.13353434, 49.26228235], ""type"": ""Point""}";Fairview;49.26228235, -123.13353434
Frederick Lee;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1435&street=W%2010TH%20AVENUE;1435;W 10TH AVENUE;1;8;"{""coordinates"": [-123.1370146, 49.26286247], ""type"": ""Point""}";Fairview;49.26286247, -123.1370146
565169 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1137&street=W%2010TH%20AVENUE;1137;W 10TH AVENUE;1;11;"{""coordinates"": [-123.13011527, 49.26274598], ""type"": ""Point""}";Fairview;49.26274598, -123.13011527
477362 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1216&street=W%2010TH%20AVENUE;1216;W 10TH AVENUE;3;8;"{""coordinates"": [-123.13190088, 49.26225233], ""type"": ""Point""}";Fairview;49.26225233, -123.13190088
Forbes Apartments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1240&street=W%2010TH%20AVENUE;1240;W 10TH AVENUE;1;41;"{""coordinates"": [-123.13263487, 49.26226541], ""type"": ""Point""}";Fairview;49.26226541, -123.13263487
0971967 BC LTD;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1715&street=W%2011TH%20AVENUE;1715;W 11TH AVENUE;1;65;"{""coordinates"": [-123.14433299, 49.2620539], ""type"": ""Point""}";Fairview;49.2620539, -123.14433299
Wing Yan Ting (Wing Ting);http://app.vancouver.ca/RPS_Net/Default.aspx?num=305&street=W%2012TH%20AVENUE;305;W 12TH AVENUE;1;5;"{""coordinates"": [-123.11131727, 49.26061764], ""type"": ""Point""}";Mount Pleasant;49.26061764, -123.11131727
1243813 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=500&street=W%2012TH%20AVENUE;500;W 12TH AVENUE;4;118;"{""coordinates"": [-123.11546241, 49.26010361], ""type"": ""Point""}";Fairview;49.26010361, -123.11546241
Chow Yin Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1088&street=W%2012TH%20AVENUE;1088;W 12TH AVENUE;1;65;"{""coordinates"": [-123.1288664, 49.26032543], ""type"": ""Point""}";Fairview;49.26032543, -123.1288664
Hero Hartethorne Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1191&street=W%2012TH%20AVENUE;1191;W 12TH AVENUE;4;10;"{""coordinates"": [-123.13102302, 49.2609198], ""type"": ""Point""}";Fairview;49.2609198, -123.13102302
Maria B Pressler (Maria Pressler);http://app.vancouver.ca/RPS_Net/Default.aspx?num=1936&street=W%2012TH%20AVENUE;1936;W 12TH AVENUE;1;5;"{""coordinates"": [-123.14913277, 49.26065275], ""type"": ""Point""}";Kitsilano;49.26065275, -123.14913277
111 Oakview Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1020&street=W%2012TH%20AVENUE;1020;W 12TH AVENUE;2;26;"{""coordinates"": [-123.12761442, 49.2603066], ""type"": ""Point""}";Fairview;49.2603066, -123.12761442
Wai Leung Chan & Kam Ying Chan (Wai Chan);http://app.vancouver.ca/RPS_Net/Default.aspx?num=1355&street=W%2012TH%20AVENUE;1355;W 12TH AVENUE;4;9;"{""coordinates"": [-123.13512922, 49.26098246], ""type"": ""Point""}";Fairview;49.26098246, -123.13512922
Gibson Sterling Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1507&street=W%2012TH%20AVENUE;1507;W 12TH AVENUE;1;32;"{""coordinates"": [-123.13908811, 49.26098718], ""type"": ""Point""}";Fairview;49.26098718, -123.13908811
Huntington Enterprise Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1610&street=W%2012TH%20AVENUE;1610;W 12TH AVENUE;2;20;"{""coordinates"": [-123.14159515, 49.26052445], ""type"": ""Point""}";Fairview;49.26052445, -123.14159515
Laurel Oak Holdings Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1946&street=W%2012TH%20AVENUE;1946;W 12TH AVENUE;1;6;"{""coordinates"": [-123.1493339, 49.26064891], ""type"": ""Point""}";Kitsilano;49.26064891, -123.1493339
Ka Yiu Yu & Shao Ping Yu;http://app.vancouver.ca/RPS_Net/Default.aspx?num=223&street=W%2013TH%20AVENUE;223;W 13TH AVENUE;4;6;"{""coordinates"": [-123.11021963, 49.25962439], ""type"": ""Point""}";Mount Pleasant;49.25962439, -123.11021963
No 198 Cathedral Ventures Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1510&street=W%2013TH%20AVENUE;1510;W 13TH AVENUE;3;8;"{""coordinates"": [-123.13913134, 49.25969973], ""type"": ""Point""}";Fairview;49.25969973, -123.13913134
1555 Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1555&street=W%2013TH%20AVENUE;1555;W 13TH AVENUE;4;9;"{""coordinates"": [-123.14009659, 49.26010801], ""type"": ""Point""}";Fairview;49.26010801, -123.14009659
Moneyloi Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1625&street=W%2013TH%20AVENUE;1625;W 13TH AVENUE;4;96;"{""coordinates"": [-123.14140669, 49.26012485], ""type"": ""Point""}";Fairview;49.26012485, -123.14140669
1150 Properties Ltd.;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1150&street=W%2013TH%20AVENUE;1150;W 13TH AVENUE;3;22;"{""coordinates"": [-123.13043986, 49.25942861], ""type"": ""Point""}";Fairview;49.25942861, -123.13043986
Wong's Apartment Group Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1225&street=W%2013TH%20AVENUE;1225;W 13TH AVENUE;4;15;"{""coordinates"": [-123.1321681, 49.25997937], ""type"": ""Point""}";Fairview;49.25997937, -123.1321681
Avaun Suites Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1025&street=W%2013TH%20AVENUE;1025;W 13TH AVENUE;1;10;"{""coordinates"": [-123.12743181, 49.25990382], ""type"": ""Point""}";Fairview;49.25990382, -123.12743181
900 West 14th Holdings Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=975&street=W%2014TH%20AVENUE;975;W 14TH AVENUE;1;6;"{""coordinates"": [-123.12608659, 49.25895901], ""type"": ""Point""}";Fairview;49.25895901, -123.12608659
Donald A Silvan (Donald Silvan);http://app.vancouver.ca/RPS_Net/Default.aspx?num=325&street=W%2014TH%20AVENUE;325;W 14TH AVENUE;1;6;"{""coordinates"": [-123.11178089, 49.25889697], ""type"": ""Point""}";Mount Pleasant;49.25889697, -123.11178089
Wimming Canada Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1107&street=W%2014TH%20AVENUE;1107;W 14TH AVENUE;2;32;"{""coordinates"": [-123.12940415, 49.25901645], ""type"": ""Point""}";Fairview;49.25901645, -123.12940415
0832554 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1234&street=W%2014TH%20AVENUE;1234;W 14TH AVENUE;3;44;"{""coordinates"": [-123.13263231, 49.2585396], ""type"": ""Point""}";Fairview;49.2585396, -123.13263231
1312599 BC Limited Partnership;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1255&street=W%2014TH%20AVENUE;1255;W 14TH AVENUE;3;61;"{""coordinates"": [-123.13283081, 49.25906694], ""type"": ""Point""}";Fairview;49.25906694, -123.13283081
Edward Ellis;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1379&street=W%2015TH%20AVENUE;1379;W 15TH AVENUE;2;15;"{""coordinates"": [-123.13566243, 49.25819197], ""type"": ""Point""}";Fairview;49.25819197, -123.13566243
Societe De Habitation Laverendrye;http://app.vancouver.ca/RPS_Net/Default.aspx?num=859&street=W%2016TH%20AVENUE;859;W 16TH AVENUE;5;19;"{""coordinates"": [-123.12320747, 49.25730073], ""type"": ""Point""}";Fairview;49.25730073, -123.12320747
Brian Morgenstern;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1131&street=W%2016TH%20AVENUE;1131;W 16TH AVENUE;2;7;"{""coordinates"": [-123.13003335, 49.25727246], ""type"": ""Point""}";Fairview;49.25727246, -123.13003335
Town House Apartments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1500&street=W%2016TH%20AVENUE;1500;W 16TH AVENUE;3;6;"{""coordinates"": [-123.13923109, 49.25684093], ""type"": ""Point""}";Shaughnessy;49.25684093, -123.13923109
0890208 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1111&street=W%2016TH%20AVENUE;1111;W 16TH AVENUE;1;8;"{""coordinates"": [-123.1294946, 49.25726723], ""type"": ""Point""}";Fairview;49.25726723, -123.1294946
Coast Foundation Society (1974);http://app.vancouver.ca/RPS_Net/Default.aspx?num=3595&street=W%2017TH%20AVENUE;3595;W 17TH AVENUE;2;51;"{""coordinates"": [-123.18469709, 49.25758303], ""type"": ""Point""}";Dunbar-Southlands;49.25758303, -123.18469709
BETA ENTERPRISES LTD;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3600&street=W%2027TH%20AVENUE;3600;W 27TH AVENUE;1;7;"{""coordinates"": [-123.1855383, 49.24784735], ""type"": ""Point""}";Dunbar-Southlands;49.24784735, -123.1855383
Manet Investments Limited;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2155&street=W%2038TH%20AVENUE;2155;W 38TH AVENUE;3;28;"{""coordinates"": [-123.15668753, 49.237624], ""type"": ""Point""}";Arbutus Ridge;49.237624, -123.15668753
Mivida Holdings Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2133&street=W%2042ND%20AVENUE;2133;W 42ND AVENUE;3;22;"{""coordinates"": [-123.15667138, 49.23389009], ""type"": ""Point""}";Kerrisdale;49.23389009, -123.15667138
Cavalier Manor Holding Co Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2120&street=W%2044TH%20AVENUE;2120;W 44TH AVENUE;1;46;"{""coordinates"": [-123.15729385, 49.2315617], ""type"": ""Point""}";Kerrisdale;49.2315617, -123.15729385
Beng Kim Yeung (Beng Yeung);http://app.vancouver.ca/RPS_Net/Default.aspx?num=1310&street=W%2070TH%20AVENUE;1310;W 70TH AVENUE;3;5;"{""coordinates"": [-123.1350487, 49.20829758], ""type"": ""Point""}";Marpole;49.20829758, -123.1350487
Keljais Places Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1349&street=W%2070TH%20AVENUE;1349;W 70TH AVENUE;1;6;"{""coordinates"": [-123.13600836, 49.20878477], ""type"": ""Point""}";Marpole;49.20878477, -123.13600836
0924733 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1425&street=W%2070TH%20AVENUE;1425;W 70TH AVENUE;1;6;"{""coordinates"": [-123.13838298, 49.20883001], ""type"": ""Point""}";Marpole;49.20883001, -123.13838298
The Blue Goat Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1330&street=W%2071ST%20AVENUE;1330;W 71ST AVENUE;6;23;"{""coordinates"": [-123.13543011, 49.20672602], ""type"": ""Point""}";Marpole;49.20672602, -123.13543011
Forestom Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1339&street=W%2071ST%20AVENUE;1339;W 71ST AVENUE;1;8;"{""coordinates"": [-123.13573227, 49.20726355], ""type"": ""Point""}";Marpole;49.20726355, -123.13573227
Lexus Properties West 71 Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1323&street=W%2071ST%20AVENUE;1323;W 71ST AVENUE;1;54;"{""coordinates"": [-123.13521658, 49.20725249], ""type"": ""Point""}";Marpole;49.20725249, -123.13521658
E Alsilmi & Group Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1915&street=W%20BROADWAY;1915;W BROADWAY;1;25;"{""coordinates"": [-123.14858755, 49.26403891], ""type"": ""Point""}";Kitsilano;49.26403891, -123.14858755
Maro Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2425&street=W%20BROADWAY;2425;W BROADWAY;3;9;"{""coordinates"": [-123.16070538, 49.26423538], ""type"": ""Point""}";Kitsilano;49.26423538, -123.16070538
bcIMC Realty Corporation & Larchway Gardens Holdings Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2485&street=W%20BROADWAY;2485;W BROADWAY;4;32;"{""coordinates"": [-123.16162334, 49.26426584], ""type"": ""Point""}";Kitsilano;49.26426584, -123.16162334
Lemerald Investment Corp;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1073&street=W%20BROADWAY;1073;W BROADWAY;1;6;"{""coordinates"": [-123.12833724, 49.26371814], ""type"": ""Point""}";Fairview;49.26371814, -123.12833724
Anthanasious Voutsilakos & Vasiliki Voutsilakos;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2341&street=W%20BROADWAY;2341;W BROADWAY;1;9;"{""coordinates"": [-123.15833774, 49.26420044], ""type"": ""Point""}";Kitsilano;49.26420044, -123.15833774
Ted Tsoromocos;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2879&street=W%20BROADWAY;2879;W BROADWAY;4;8;"{""coordinates"": [-123.16995533, 49.26435474], ""type"": ""Point""}";Kitsilano;49.26435474, -123.16995533
Petrakis Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3355&street=W%20BROADWAY;3355;W BROADWAY;3;6;"{""coordinates"": [-123.17903744, 49.26450788], ""type"": ""Point""}";Kitsilano;49.26450788, -123.17903744
Fortin Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=57&street=W%20CORDOVA%20STREET;57;W CORDOVA STREET;8;54;"{""coordinates"": [-123.10569211, 49.28299731], ""type"": ""Point""}";Downtown;49.28299731, -123.10569211
Hildon Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=50&street=W%20CORDOVA%20STREET;50;W CORDOVA STREET;4;136;"{""coordinates"": [-123.10585529, 49.2824678], ""type"": ""Point""}";Downtown;49.2824678, -123.10585529
1450 West Georgia Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1450&street=W%20GEORGIA%20STREET;1450;W GEORGIA STREET;2;162;"{""coordinates"": [-123.12942519, 49.28935812], ""type"": ""Point""}";West End;49.28935812, -123.12942519
Atira Women's Resource Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=18&street=W%20HASTINGS%20STREET;18;W HASTINGS STREET;1;30;"{""coordinates"": [-123.10520873, 49.28140831], ""type"": ""Point""}";Downtown;49.28140831, -123.10520873
PHS Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=7&street=W%20HASTINGS%20STREET;7;W HASTINGS STREET;4;41;"{""coordinates"": [-123.10494162, 49.28186911], ""type"": ""Point""}";Downtown;49.28186911, -123.10494162
Central City Foundation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=29&street=W%20HASTINGS%20STREET;29;W HASTINGS STREET;2;42;"{""coordinates"": [-123.10560541, 49.28199128], ""type"": ""Point""}";Downtown;49.28199128, -123.10560541
0927000 B C Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=33&street=W%20HASTINGS%20STREET;33;W HASTINGS STREET;12;62;"{""coordinates"": [-123.10570994, 49.28200963], ""type"": ""Point""}";Downtown;49.28200963, -123.10570994
Laurelwood Ventures Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=35&street=W%20HASTINGS%20STREET;35;W HASTINGS STREET;9;32;"{""coordinates"": [-123.10583167, 49.28203155], ""type"": ""Point""}";Downtown;49.28203155, -123.10583167
Grand Union Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=74&street=W%20HASTINGS%20STREET;74;W HASTINGS STREET;30;35;"{""coordinates"": [-123.10683496, 49.28163129], ""type"": ""Point""}";Downtown;49.28163129, -123.10683496
Five West Hastings Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=5&street=W%20HASTINGS%20STREET;5;W HASTINGS STREET;6;31;"{""coordinates"": [-123.10492228, 49.2818273], ""type"": ""Point""}";Downtown;49.2818273, -123.10492228
PHS Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=20&street=W%20HASTINGS%20STREET;20;W HASTINGS STREET;4;87;"{""coordinates"": [-123.10547529, 49.28138819], ""type"": ""Point""}";Downtown;49.28138819, -123.10547529
116 West Hastings Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=116&street=W%20HASTINGS%20STREET;116;W HASTINGS STREET;1;28;"{""coordinates"": [-123.10801449, 49.28184149], ""type"": ""Point""}";Downtown;49.28184149, -123.10801449
Mina Angelicola;http://app.vancouver.ca/RPS_Net/Default.aspx?num=165&street=W%20PENDER%20STREET;165;W PENDER STREET;9;85;"{""coordinates"": [-123.10884749, 49.28168463], ""type"": ""Point""}";Downtown;49.28168463, -123.10884749
620 W Pender Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=620&street=W%20PENDER%20STREET;620;W PENDER STREET;4;51;"{""coordinates"": [-123.11450974, 49.28406412], ""type"": ""Point""}";Downtown;49.28406412, -123.11450974
2164 Wall Street Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2164&street=WALL%20STREET;2164;WALL STREET;1;8;"{""coordinates"": [-123.06011022, 49.28777634], ""type"": ""Point""}";Grandview-Woodland;49.28777634, -123.06011022
Atira Women's Resource Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=122&street=WATER%20STREET;122;WATER STREET;7;140;"{""coordinates"": [-123.10703834, 49.28369274], ""type"": ""Point""}";Downtown;49.28369274, -123.10703834
Reliance Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=33&street=WATER%20STREET;33;WATER STREET;1;58;"{""coordinates"": [-123.10495459, 49.28389079], ""type"": ""Point""}";Downtown;49.28389079, -123.10495459
1104142 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3538&street=WINDSOR%20STREET;3538;WINDSOR STREET;2;24;"{""coordinates"": [-123.08350934, 49.25339172], ""type"": ""Point""}";Kensington-Cedar Cottage;49.25339172, -123.08350934
WL Apartments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=512&street=WOODLAND%20DRIVE;512;WOODLAND DRIVE;1;15;"{""coordinates"": [-123.07227322, 49.27995895], ""type"": ""Point""}";Grandview-Woodland;49.27995895, -123.07227322
Pacific Northwest Ventures Co Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1209&street=WOODLAND%20DRIVE;1209;WOODLAND DRIVE;2;6;"{""coordinates"": [-123.07368405, 49.27371091], ""type"": ""Point""}";Grandview-Woodland;49.27371091, -123.07368405
PY -1 Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1601&street=YEW%20STREET;1601;YEW STREET;1;10;"{""coordinates"": [-123.15547296, 49.27143843], ""type"": ""Point""}";Kitsilano;49.27143843, -123.15547296
Janet Wai Chun Li (Janet Li);http://app.vancouver.ca/RPS_Net/Default.aspx?num=5616&street=YEW%20STREET;5616;YEW STREET;2;13;"{""coordinates"": [-123.1573473, 49.2354197], ""type"": ""Point""}";Arbutus Ridge;49.2354197, -123.1573473
York Street Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2275&street=YORK%20AVENUE;2275;YORK AVENUE;1;9;"{""coordinates"": [-123.15672405, 49.27196887], ""type"": ""Point""}";Kitsilano;49.27196887, -123.15672405
2425 York Nominee Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2425&street=YORK%20AVENUE;2425;YORK AVENUE;2;24;"{""coordinates"": [-123.16041381, 49.27202683], ""type"": ""Point""}";Kitsilano;49.27202683, -123.16041381
Yorkshire Place Apt Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2145&street=YORK%20AVENUE;2145;YORK AVENUE;1;43;"{""coordinates"": [-123.15401504, 49.27193519], ""type"": ""Point""}";Kitsilano;49.27193519, -123.15401504
Martin & Susan Sally;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2366&street=YORK%20AVENUE;2366;YORK AVENUE;3;11;"{""coordinates"": [-123.15889254, 49.27149415], ""type"": ""Point""}";Kitsilano;49.27149415, -123.15889254
John Hernandez;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3460&street=YUKON%20STREET;3460;YUKON STREET;1;5;"{""coordinates"": [-123.11214974, 49.25417327], ""type"": ""Point""}";Riley Park;49.25417327, -123.11214974
